Rate,Week,PC,logdose,pred,res,a,b,c,d,SSE
0.25,22,0.5316455696,-1.386294361,0.6554887544,-0.123843185,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.25,22,0.55907173,-1.386294361,0.6554887544,-0.096417024,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.76,22,0.8016877637,-0.274436846,0.7393100788,0.0623776849,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.76,22,0.8818565401,-0.274436846,0.7393100788,0.1425464613,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.76,22,0.5189873418,-0.274436846,0.7393100788,-0.220322737,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.76,22,0.5063291139,-0.274436846,0.7393100788,-0.232980965,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
2.27,22,0.888185654,0.8197798315,0.7774122194,0.1107734346,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
2.27,22,0.8839662447,0.8197798315,0.7774122194,0.1065540253,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
2.27,22,0.5232067511,0.8197798315,0.7774122194,-0.254205468,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
2.27,22,0.5675105485,0.8197798315,0.7774122194,-0.209901671,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
6.8,22,0.8755274262,1.9169226122,0.7918960182,0.0836314079,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
6.8,22,0.888185654,1.9169226122,0.7918960182,0.0962896358,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
6.8,22,0.8902953586,1.9169226122,0.7918960182,0.0983993404,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
6.8,22,0.8924050633,1.9169226122,0.7918960182,0.100509045,0.7995259938,1,0.1163759415,0.3460664685,0.4932411952
0.003,24,0.3395638629,-5.80914299,0.3819974531,-0.04243359,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.003,24,0.3769470405,-5.80914299,0.3819974531,-0.005050413,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.003,24,0.4413291796,-5.80914299,0.3819974531,0.0593317266,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.003,24,0.4184839045,-5.80914299,0.3819974531,0.0364864514,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.009,24,0.3561786085,-4.710530702,0.413539351,-0.057360742,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.009,24,0.3811007269,-4.710530702,0.413539351,-0.032438624,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.009,24,0.4267912773,-4.710530702,0.413539351,0.0132519263,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.009,24,0.4413291796,-4.710530702,0.413539351,0.0277898286,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.028,24,0.5223260644,-3.575550769,0.4849478142,0.0373782502,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.028,24,0.4247144341,-3.575550769,0.4849478142,-0.06023338,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.028,24,0.48701973,-3.575550769,0.4849478142,0.0020719158,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.028,24,0.48701973,-3.575550769,0.4849478142,0.0020719158,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.084,24,0.3541017653,-2.47693848,0.5855644956,-0.23146273,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.084,24,0.6843198339,-2.47693848,0.5855644956,0.0987553382,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.084,24,0.6303219107,-2.47693848,0.5855644956,0.0447574151,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.084,24,0.6261682243,-2.47693848,0.5855644956,0.0406037287,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.25,24,0.518172378,-1.386294361,0.670021034,-0.151848656,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.25,24,0.811007269,-1.386294361,0.670021034,0.140986235,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.25,24,0.8795430945,-1.386294361,0.670021034,0.2095220605,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.25,24,0.7964693666,-1.386294361,0.670021034,0.1264483326,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.76,24,0.5617860852,-0.274436846,0.7155079562,-0.153721871,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.76,24,0.7030114226,-0.274436846,0.7155079562,-0.012496534,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.76,24,0.7133956386,-0.274436846,0.7155079562,-0.002112318,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.76,24,0.5098650052,-0.274436846,0.7155079562,-0.205642951,0.7431297318,1,0.059695729,0.363848804,0.462531931
2.27,24,0.5617860852,0.8197798315,0.7334111015,-0.171625016,0.7431297318,1,0.059695729,0.363848804,0.462531931
2.27,24,0.8566978193,0.8197798315,0.7334111015,0.1232867178,0.7431297318,1,0.059695729,0.363848804,0.462531931
2.27,24,0.549325026,0.8197798315,0.7334111015,-0.184086076,0.7431297318,1,0.059695729,0.363848804,0.462531931
2.27,24,0.5119418484,0.8197798315,0.7334111015,-0.221469253,0.7431297318,1,0.059695729,0.363848804,0.462531931
6.8,24,0.8878504673,1.9169226122,0.7398290823,0.148021385,0.7431297318,1,0.059695729,0.363848804,0.462531931
6.8,24,0.8899273105,1.9169226122,0.7398290823,0.1500982282,0.7431297318,1,0.059695729,0.363848804,0.462531931
6.8,24,0.8546209761,1.9169226122,0.7398290823,0.1147918938,0.7431297318,1,0.059695729,0.363848804,0.462531931
6.8,24,0.8961578401,1.9169226122,0.7398290823,0.1563287578,0.7431297318,1,0.059695729,0.363848804,0.462531931
0.003,25,0.4112458655,-5.80914299,0.4119057031,-0.000659838,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.003,25,0.4178610805,-5.80914299,0.4119057031,0.0059553774,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.003,25,0.3186328556,-5.80914299,0.4119057031,-0.093272848,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.003,25,0.3891951488,-5.80914299,0.4119057031,-0.022710554,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.009,25,0.4310915105,-4.710530702,0.4170601359,0.0140313746,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.009,25,0.4332965821,-4.710530702,0.4170601359,0.0162364463,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.009,25,0.3936052922,-4.710530702,0.4170601359,-0.023454844,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.009,25,0.4355016538,-4.710530702,0.4170601359,0.0184415179,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.028,25,0.4884233738,-3.575550769,0.4600888035,0.0283345703,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.028,25,0.5060639471,-3.575550769,0.4600888035,0.0459751436,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.028,25,0.4950385888,-3.575550769,0.4600888035,0.0349497853,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.028,25,0.4884233738,-3.575550769,0.4600888035,0.0283345703,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.084,25,0.592061742,-2.47693848,0.6474906746,-0.055428933,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.084,25,0.6714443219,-2.47693848,0.6474906746,0.0239536473,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.084,25,0.5942668137,-2.47693848,0.6474906746,-0.053223861,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.084,25,0.6273428886,-2.47693848,0.6474906746,-0.020147786,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.25,25,0.8787210584,-1.386294361,0.838161262,0.0405597964,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.25,25,0.8721058434,-1.386294361,0.838161262,0.0339445815,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.25,25,0.8721058434,-1.386294361,0.838161262,0.0339445815,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.25,25,0.8743109151,-1.386294361,0.838161262,0.0361496531,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.76,25,0.8831312018,-0.274436846,0.8835969153,-0.000465714,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.76,25,0.8809261301,-0.274436846,0.8835969153,-0.002670785,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.76,25,0.8522601985,-0.274436846,0.8835969153,-0.031336717,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.76,25,0.8831312018,-0.274436846,0.8835969153,-0.000465714,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
2.27,25,0.8787210584,0.8197798315,0.8893576609,-0.010636603,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
2.27,25,0.8831312018,0.8197798315,0.8893576609,-0.006226459,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
2.27,25,0.8765159868,0.8197798315,0.8893576609,-0.012841674,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
2.27,25,0.8809261301,0.8197798315,0.8893576609,-0.008431531,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
6.8,25,0.8919514884,1.9169226122,0.8900455767,0.0019059117,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
6.8,25,0.8875413451,1.9169226122,0.8900455767,-0.002504232,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
6.8,25,0.8743109151,1.9169226122,0.8900455767,-0.015734662,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
6.8,25,0.8875413451,1.9169226122,0.8900455767,-0.002504232,0.8901369158,1.9552578041,0.0851510342,0.4112162352,0.02932555
0.003,26,0.3866396761,-5.80914299,0.3986489765,-0.0120093,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.003,26,0.3785425101,-5.80914299,0.3986489765,-0.020106466,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.003,26,0.4008097166,-5.80914299,0.3986489765,0.0021607401,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.003,26,0.4190283401,-5.80914299,0.3986489765,0.0203793636,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.009,26,0.3967611336,-4.710530702,0.4079744384,-0.011213305,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.009,26,0.471659919,-4.710530702,0.4079744384,0.0636854807,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.009,26,0.4068825911,-4.710530702,0.4079744384,-0.001091847,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.009,26,0.3603238866,-4.710530702,0.4079744384,-0.047650552,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.028,26,0.491902834,-3.575550769,0.4907116769,0.0011911572,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.028,26,0.508097166,-3.575550769,0.4907116769,0.0173854891,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.028,26,0.4939271255,-3.575550769,0.4907116769,0.0032154487,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.028,26,0.4817813765,-3.575550769,0.4907116769,-0.0089303,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.084,26,0.6477732794,-2.47693848,0.6996907963,-0.051917517,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.084,26,0.6801619433,-2.47693848,0.6996907963,-0.019528853,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.084,26,0.7004048583,-2.47693848,0.6996907963,0.000714062,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.084,26,0.7408906883,-2.47693848,0.6996907963,0.041199892,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.25,26,0.8927125506,-1.386294361,0.7803845207,0.1123280299,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.25,26,0.8846153846,-1.386294361,0.7803845207,0.1042308639,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.25,26,0.5789473684,-1.386294361,0.7803845207,-0.201437152,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.25,26,0.8825910931,-1.386294361,0.7803845207,0.1022065724,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.76,26,0.8947368421,-0.274436846,0.7904732866,0.1042635555,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.76,26,0.8562753036,-0.274436846,0.7904732866,0.065802017,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.76,26,0.6336032389,-0.274436846,0.7904732866,-0.156870048,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.76,26,0.6862348178,-0.274436846,0.7904732866,-0.104238469,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
2.27,26,0.6639676113,0.8197798315,0.7914184002,-0.127450789,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
2.27,26,0.8906882591,0.8197798315,0.7914184002,0.0992698589,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
2.27,26,0.5910931174,0.8197798315,0.7914184002,-0.200325283,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
2.27,26,0.6052631579,0.8197798315,0.7914184002,-0.186155242,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
6.8,26,0.8906882591,1.9169226122,0.7915084316,0.0991798275,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
6.8,26,0.8967611336,1.9169226122,0.7915084316,0.105252702,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
6.8,26,0.8886639676,1.9169226122,0.7915084316,0.097155536,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
6.8,26,0.9008097166,1.9169226122,0.7915084316,0.109301285,0.7915178135,2.1517095981,0.0483018995,0.3976547805,0.2809527095
0.003,27,0.3014440433,-5.80914299,0.389097343,-0.0876533,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.003,27,0.3935018051,-5.80914299,0.389097343,0.004404462,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.003,27,0.4332129964,-5.80914299,0.389097343,0.0441156534,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.003,27,0.3862815884,-5.80914299,0.389097343,-0.002815755,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.009,27,0.4025270758,-4.710530702,0.3980936921,0.0044333837,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.009,27,0.3519855596,-4.710530702,0.3980936921,-0.046108133,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.009,27,0.3862815884,-4.710530702,0.3980936921,-0.011812104,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.009,27,0.4801444043,-4.710530702,0.3980936921,0.0820507122,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.028,27,0.4891696751,-3.575550769,0.4687873519,0.0203823232,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
0.028,27,0.4855595668,-3.575550769,0.4687873519,0.0167722149,0.9010278191,1.9575065061,0.0659093949,0.3878879214,0.0272025635
